Quiniela - Temporada,2025-26,Jornada,1

N°,Combinación,Coste (€)
1,11111111111111,0.75
2,11111111X11111,0.75
3,11111111211111,0.75
4,1111111X111111,0.75
5,1111111XX11111,0.75
6,1111111X211111,0.75
7,11111112111111,0.75
8,11111112X11111,0.75
9,11111112211111,0.75
10,111111X1111111,0.75
11,111111X1X11111,0.75
12,111111X1211111,0.75
13,111111XX111111,0.75
14,111111XXX11111,0.75
15,111111XX211111,0.75
16,111111X2111111,0.75
17,111111X2X11111,0.75
18,111111X2211111,0.75
19,11111X11111111,0.75
20,11111X11X11111,0.75
21,11111X11211111,0.75
22,11111X1X111111,0.75
23,11111X1XX11111,0.75
24,11111X1X211111,0.75
25,11111X12111111,0.75
26,11111X12X11111,0.75
27,11111X12211111,0.75
28,11111XX1111111,0.75
29,11111XX1X11111,0.75
30,11111XX1211111,0.75
31,11111XXX111111,0.75
32,11111XXXX11111,0.75
33,11111XXX211111,0.75
34,11111XX2111111,0.75
35,11111XX2X11111,0.75
36,11111XX2211111,0.75
37,11111211111111,0.75
38,11111211X11111,0.75
39,11111211211111,0.75
40,1111121X111111,0.75
41,1111121XX11111,0.75
42,1111121X211111,0.75
43,11111212111111,0.75
44,11111212X11111,0.75
45,11111212211111,0.75
46,111112X1111111,0.75
47,111112X1X11111,0.75
48,111112X1211111,0.75
49,111112XX111111,0.75
50,111112XXX11111,0.75
51,111112XX211111,0.75
52,111112X2111111,0.75
53,111112X2X11111,0.75
54,111112X2211111,0.75
55,1111X111111111,0.75
56,1111X111X11111,0.75
57,1111X111211111,0.75
58,1111X11X111111,0.75
59,1111X11XX11111,0.75
60,1111X11X211111,0.75
61,1111X112111111,0.75
62,1111X112X11111,0.75
63,1111X112211111,0.75
64,1111X1X1111111,0.75
65,1111X1X1X11111,0.75
66,1111X1X1211111,0.75
67,1111X1XX111111,0.75
68,1111X1XXX11111,0.75
69,1111X1XX211111,0.75
70,1111X1X2111111,0.75
71,1111X1X2X11111,0.75
72,1111X1X2211111,0.75
73,1111XX11111111,0.75
74,1111XX11X11111,0.75
75,1111XX11211111,0.75
76,1111XX1X111111,0.75
77,1111XX1XX11111,0.75
78,1111XX1X211111,0.75
79,1111XX12111111,0.75
80,1111XX12X11111,0.75
81,1111XX12211111,0.75
82,1111XXX1111111,0.75
83,1111XXX1X11111,0.75
84,1111XXX1211111,0.75
85,1111XXXX111111,0.75
86,1111XXXXX11111,0.75
87,1111XXXX211111,0.75
88,1111XXX2111111,0.75
89,1111XXX2X11111,0.75
90,1111XXX2211111,0.75
91,1111X211111111,0.75
92,1111X211X11111,0.75
93,1111X211211111,0.75
94,1111X21X111111,0.75
95,1111X21XX11111,0.75
96,1111X21X211111,0.75
97,1111X212111111,0.75
98,1111X212X11111,0.75
99,1111X212211111,0.75
100,1111X2X1111111,0.75
101,1111X2X1X11111,0.75
102,1111X2X1211111,0.75
103,1111X2XX111111,0.75
104,1111X2XXX11111,0.75
105,1111X2XX211111,0.75
106,1111X2X2111111,0.75
107,1111X2X2X11111,0.75
108,1111X2X2211111,0.75
109,111X1111111111,0.75
110,111X1111X11111,0.75
111,111X1111211111,0.75
112,111X111X111111,0.75
113,111X111XX11111,0.75
114,111X111X211111,0.75
115,111X1112111111,0.75
116,111X1112X11111,0.75
117,111X1112211111,0.75
118,111X11X1111111,0.75
119,111X11X1X11111,0.75
120,111X11X1211111,0.75
121,111X11XX111111,0.75
122,111X11XXX11111,0.75
